feature,weight
gila gak,0.35223592895210337
beli kopi,0.35223592895210337
malah nyaranin,0.35223592895210337
kopi kasirnya,0.35223592895210337
nyaranin berkah,0.35223592895210337
kasirnya malah,0.35223592895210337
gak cuma,0.35178749730469444
main kyt,0.3513216939783133
semua,0.3511266660211873
ni situs,0.35091365260228047
estetik,0.35010311657626336
main sepatu,0.3499030475851438
ketika,0.34930106154362744
klip,0.3483704936895458
topik,0.34830510410543464
stay,0.34830510410543464
kelen,0.34813212025522317
pelatih biar,0.34813212025522317
ngerasain menang,0.34813212025522317
bermain pelatih,0.34813212025522317
join pelatih,0.34813212025522317
lupa join,0.34813212025522317
pelatih ges,0.34813212025522317
biar kelen,0.34813212025522317
menang bermain,0.34813212025522317
kelen ngerasain,0.34813212025522317
ges yaa,0.34813212025522317
aja bang,0.3475889645137036
bayar,0.3469800572301084
terbukti,0.3465476955775348
bermakna,0.3459672341681721
menutup,0.3452706625585669
dukungan,0.3452244125771958
kayak gini,0.3448179773014393
rolling,0.3436390881757471
kasirnya,0.3435086210581919
nyaranin,0.3435086210581919
berwarna,0.34340861247334864
makin berwarna,0.34340861247334864
bareng ton,0.34340861247334864
harimu,0.34340861247334864
ayo,0.3426867014783042
ui,0.3426867014783042
sesama,0.3415554142127572
nagamastoto smiling,0.34139793506847776
africa,0.3410940650435839
europe,0.3410940650435839
globe showing,0.3410940650435839
europe africa,0.3410940650435839
showing europe,0.3410940650435839
showing,0.3410940650435839
memang kak,0.3396242158364403
heart memang,0.3396242158364403
terbaik red,0.3396242158364403
kak salam,0.3396242158364403
pernah gagal,0.3383850465199664
mateng,0.3383614570302028
gerak mulus,0.33801490742165297
gerak,0.33801490742165297
andalan,0.337228631693697
mata,0.33689418779252267
cobain situs,0.3365079673313144
hearts,0.3362096179591165
with hearts,0.3362096179591165
temanin,0.3356291230635276
biasa,0.33514858409763093
berhenti,0.335109973170115
menarik,0.3349887781760858
jelasnya,0.3349756449052504
tempat,0.3349094479092774
party popper,0.33465197785192147
popper,0.33465197785192147
betul,0.33363246480641406
sebenernya,0.33316895748502623
sih sebenernya,0.33316895748502623
nyebar,0.33316895748502623
sebenernya kok,0.33316895748502623
segitunya nyebar,0.33316895748502623
berkah apa,0.33316895748502623
kok segitunya,0.33316895748502623
segitunya,0.33316895748502623
bosen nonton,0.3331072506374391
nonton berkah,0.3331072506374391
place,0.33291157579753655
paham,0.33175938705133523
aku dulu,0.3315529059907536
lingkungan,0.3303177777064665
urusannya,0.32933325130943303
dilancarkan segala,0.32933325130943303
urusannya salam,0.32933325130943303
selalu kang,0.32933325130943303
kang semngat,0.32933325130943303
ngonten dilancarkan,0.32933325130943303
semngat,0.32933325130943303
semngat ngonten,0.32933325130943303
biasa sehat,0.32933325130943303
segala urusannya,0.32933325130943303
biar gak,0.3290337812154426
booster,0.32849981291581
usah,0.3284211840852965
menu,0.32774642982687974
sebagai,0.32772155637226086
menang tiap,0.3276136819614803
benar benar,0.3275690881568589
aj,0.3268036975623248
politik,0.32673379270218766
marah,0.32671156416444314
dapatkan,0.32659032612761224
circle bardi,0.3263281006400155
liat saldo,0.3259666705969342
meledak,0.32498751286955396
kaya beneran,0.32469296627481564
lama lama,0.32469296627481564
berkah kaya,0.32469296627481564
beneran mantap,0.32469296627481564
ngakak face,0.32335945046424697
ide,0.3228179203552632
update terbaru,0.3222972083089367
banyak,0.32140017726308806
apa sih,0.3209892217360186
setiap hari,0.32068563578792914
rela,0.32034887054364203
nomor,0.3200273115434261
gak kuat,0.3199905424175696
bangett gak,0.3199050780371031
tiba tiba,0.3197684379009546
memang,0.3195463029522054
pelatih,0.31929466787821825
masuk,0.3191004473012539
sesuatu,0.3186843459639904
sunglasses bbca,0.31846340031730286
xuxu emang,0.3183943807793456
tiap,0.31508490445401294
bangga,0.3134960467671468
cari situs,0.3132312942361953
akun,0.3128618731695674
notif,0.31271897700543355
lollipop aku,0.311002537736347
luar biasa,0.31095016856405966
ga ngotak,0.3109235556189539
pointing,0.30893682008619655
index pointing,0.30893682008619655
jangan sampai,0.3086759309765762
yin nagamastoto,0.30850366198368995
nagamastoto yin,0.30850366198368995
nemu situs,0.30792968176372487
tiba,0.30716745391429556
down,0.3062800657390707
nagamastoto mantap,0.3056603698808947
jangan lupa,0.3043886759967811
selalu idola,0.30324490273221655
ajak masuk,0.30317593540948845
angka,0.3026949539146565
parahhh kayak,0.3025146537208697
semalem,0.3025146537208697
jackpot semalem,0.3025146537208697
ga boong,0.3025146537208697
gemes parahhh,0.3025146537208697
kayak jackpot,0.3025146537208697
fire bardi,0.30224757400272484
bardi fire,0.30224757400272484
cepetan ajak,0.30041161429565183
cerita,0.2988777273925441
temen lo,0.2988108953742618
iseng,0.2985676225876291
paling tinggi,0.29843969756511696
kontennya berkah,0.29773865015745005
terasa,0.29759632284859616
sambil bermain,0.297385545904269
ketagihan,0.29711491183775135
sehari hari,0.2968793946510189
button levis,0.29522723712853394
semakin bermakna,0.29522723712853394
levis check,0.29522723712853394
curry,0.29489596915715766
vior,0.29375473134375907
berapa,0.29369885999552087
komentar,0.293289021982432
aku makin,0.293273689115588
masuk cantik,0.2920926616056506
belajar,0.2917784818588105
dahh,0.2903800671755
rame rame,0.2900542536733453
setiap,0.289529727674637
right,0.28847338633914177
kopi,0.28819157494575576
gini,0.28815604089517044
tadi,0.2873222957158097
boleh,0.287284718670863
triangular,0.28653602498049485
triangular flag,0.28653602498049485
flag,0.28653602498049485
liat aja,0.2865139527281516
takjub,0.28636884986873223
sering,0.28612942073408953
hearts smiling,0.28511302078054657
up thumbs,0.28511302078054657
gabung,0.28485012381572383
sampe nangis,0.2844421220686457
produk,0.28365750975819715
dijamin,0.28315087810611717
sultan,0.2809552992241554
kualitas,0.2795530620200592
pointing right,0.2792892529119336
heart berkah,0.27914866687458195
over mouth,0.2784886515869125
with hand,0.2784886515869125
hand over,0.2784886515869125
segemes sih,0.2780438464770034
dah,0.2780073703139462
kesel,0.2773678367994946
dizzy,0.2769596126832665
